fecha;sol;tmin;tmax;prec
16/09/2014;8,2;19;28;11
17/09/2014;7,3;19;27;12,5
18/09/2014;7,3;19;27;9
19/09/2014;6,7;19;26;7
20/09/2014;6,5;19;26;6
21/09/2014;6,8;19;26;1
22/09/2014;7;19;27;1,5
23/09/2014;6,5;19;27;0,5
24/09/2014;7,8;18;27;0
25/09/2014;7,3;19;28;0
26/09/2014;7,2;19;28;21
27/09/2014;7,7;18;28;21
28/09/2014;8,2;18;28;21
29/09/2014;7,9;19;29;0
30/09/2014;9;19;29;0
01/10/2014;9,8;19;30;0
02/10/2014;9,4;19;31;0
03/10/2014;9,7;19;31;0
04/10/2014;10,4;18;30;0
05/10/2014;10,5;17;29;0
06/10/2014;9,6;17;28;0
07/10/2014;9,5;17;28;0
08/10/2014;8,3;17;27;16
09/10/2014;6,5;18;27;17,5
10/10/2014;6,2;18;26;25
11/10/2014;5,6;17;24;10,5
12/10/2014;5,5;16;23;16,5
13/10/2014;4,6;15;23;9
14/10/2014;5,8;15;23;8
15/10/2014;5,9;15;24;0,5
16/10/2014;7,2;16;26;0,5
17/10/2014;7,5;17;27;0
18/10/2014;9,2;17;29;0
19/10/2014;9,5;17;30;0
20/10/2014;9,6;18;31;0
21/10/2014;9,8;17;31;0
22/10/2014;9,9;17;31;0
23/10/2014;10,1;16;31;0
24/10/2014;9,9;15;30;0
25/10/2014;9,7;14;29;0
26/10/2014;9,5;13;29;0
27/10/2014;9,5;14;28;0
28/10/2014;9,5;14;28;0
29/10/2014;9,7;14;28;0
30/10/2014;9,8;14;28;0
31/10/2014;9,3;13;27;0
01/11/2014;8,7;13;26;0
02/11/2014;7,7;12;24;2
03/11/2014;7,7;11;22;2
04/11/2014;7,8;10;21;2
05/11/2014;6,5;11;20;0
06/11/2014;5,7;11;20;0,5
07/11/2014;6,6;11;20;2
08/11/2014;6,2;11;19;2
09/11/2014;5,5;12;19;12,5
10/11/2014;6,6;12;20;11
11/11/2014;6,4;12;20;11
12/11/2014;5;13;20;5,5
13/11/2014;5;14;21;6
14/11/2014;5,5;13;20;6
15/11/2014;5,9;12;20;0,5
16/11/2014;7,3;11;20;0
17/11/2014;8,6;10;20;0
18/11/2014;8,5;11;21;0
19/11/2014;8;11;22;0
20/11/2014;6,8;12;22;0
21/11/2014;5,5;14;23;0
22/11/2014;4,9;14;23;3
23/11/2014;4,8;14;22;3
24/11/2014;4,4;15;21;3
25/11/2014;4,4;14;20;8
26/11/2014;5,1;13;19;22
27/11/2014;5,3;12;18;22,5
28/11/2014;5;11;17;14,5
29/11/2014;5,5;11;17;0,5
30/11/2014;6,7;10;18;0
01/12/2014;6,7;9;18;0
02/12/2014;7;9;18;0
03/12/2014;7,8;8;17;0
04/12/2014;8,3;7;17;0
05/12/2014;8,6;6;16;0
06/12/2014;9,2;5;16;0
07/12/2014;9,1;4;15;0
08/12/2014;9,1;4;15;0
09/12/2014;8,9;4;15;0
10/12/2014;7,9;4;16;0
11/12/2014;6,1;5;16;0
12/12/2014;4,7;6;16;10
13/12/2014;4,4;7;16;11,5
14/12/2014;3,1;8;16;11,5
15/12/2014;2,6;9;15;2
16/12/2014;3,9;8;15;0
17/12/2014;5,4;7;16;0
18/12/2014;5,3;7;16;0
19/12/2014;6,8;6;16;0
20/12/2014;8,1;6;17;0
21/12/2014;8,6;6;17;0
22/12/2014;8,5;6;18;0
23/12/2014;8,7;6;17;0
24/12/2014;8,8;6;17;0
25/12/2014;8,3;5;16;0
26/12/2014;7,3;5;16;0
27/12/2014;7,4;4;15;0
28/12/2014;7,7;4;14;0
29/12/2014;7,7;4;14;0
30/12/2014;8,3;3;14;0
31/12/2014;9,3;3;14;0
01/01/2015;9,4;3;16;0
02/01/2015;9,4;3;17;0
03/01/2015;8,4;3;17;0
04/01/2015;7,3;4;17;0
05/01/2015;7,2;4;17;0
06/01/2015;7,2;4;16;0
07/01/2015;7,2;4;16;0
